image_path,text,label
images/dry/R_10680.jpg,metal or glass recyclable item,dry
images/dry/cardboard166 2.jpg,dry recyclable household waste,dry
images/dry/metal296.jpg,metal or glass recyclable item,dry
images/dry/R_10858.jpg,plastic bottle waste,dry
images/dry/plastic391.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard123 2.jpg,dry recyclable household waste,dry
images/dry/cardboard233.jpg,plastic bottle waste,dry
images/dry/cardboard227.jpg,plastic bottle waste,dry
images/dry/plastic385.jpg,metal or glass recyclable item,dry
images/dry/R_10694.jpg,plastic bottle waste,dry
images/dry/metal282.jpg,paper or cardboard recyclable waste,dry
images/dry/metal2.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10864.jpg,dry recyclable household waste,dry
images/dry/R_10870.jpg,metal or glass recyclable item,dry
images/dry/plastic352.jpg,paper or cardboard recyclable waste,dry
images/dry/metal255.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard267 2.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10643.jpg,plastic bottle waste,dry
images/dry/R_10125.jpg,dry recyclable household waste,dry
images/dry/plastic434.jpg,plastic bottle waste,dry
images/dry/cardboard222 2.jpg,dry recyclable household waste,dry
images/dry/plastic420.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10131.jpg,metal or glass recyclable item,dry
images/dry/metal241.jpg,dry recyclable household waste,dry
images/dry/R_10657.jpg,dry recyclable household waste,dry
images/dry/plastic346.jpg,metal or glass recyclable item,dry
images/dry/metal269.jpg,plastic bottle waste,dry
images/dry/plastic408.jpg,metal or glass recyclable item,dry
images/dry/R_10119.jpg,metal or glass recyclable item,dry
images/dry/plastic193.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10482.jpg,plastic bottle waste,dry
images/dry/R_10496.jpg,dry recyclable household waste,dry
images/dry/plastic187.jpg,plastic bottle waste,dry
images/dry/glass239.jpg,plastic bottle waste,dry
images/dry/glass211.jpg,metal or glass recyclable item,dry
images/dry/metal80.jpg,paper or cardboard recyclable waste,dry
images/dry/metal94.jpg,plastic bottle waste,dry
images/dry/glass205.jpg,metal or glass recyclable item,dry
images/dry/R_11039.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10327.jpg,dry recyclable household waste,dry
images/dry/R_10441.jpg,metal or glass recyclable item,dry
images/dry/plastic150.jpg,dry recyclable household waste,dry
images/dry/plastic144.jpg,metal or glass recyclable item,dry
images/dry/R_10455.jpg,plastic bottle waste,dry
images/dry/R_10333.jpg,dry recyclable household waste,dry
images/dry/R_11005.jpg,metal or glass recyclable item,dry
images/dry/metal43.jpg,dry recyclable household waste,dry
images/dry/cardboard387 2.jpg,metal or glass recyclable item,dry
images/dry/R_10469.jpg,plastic bottle waste,dry
images/dry/plastic178.jpg,dry recyclable household waste,dry
images/dry/R_11011.jpg,dry recyclable household waste,dry
images/dry/metal57.jpg,plastic bottle waste,dry
images/dry/cardboard145.jpg,metal or glass recyclable item,dry
images/dry/R_10290.jpg,plastic bottle waste,dry
images/dry/plastic8.jpg,metal or glass recyclable item,dry
images/dry/glass359.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard151.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10284.jpg,dry recyclable household waste,dry
images/dry/glass365.jpg,plastic bottle waste,dry
images/dry/cardboard179.jpg,plastic bottle waste,dry
images/dry/plastic89.jpg,dry recyclable household waste,dry
images/dry/cardboard98.jpg,plastic bottle waste,dry
images/dry/glass403.jpg,dry recyclable household waste,dry
images/dry/glass417.jpg,dry recyclable household waste,dry
images/dry/glass371.jpg,metal or glass recyclable item,dry
images/dry/R_10253.jpg,plastic bottle waste,dry
images/dry/cardboard67.jpg,plastic bottle waste,dry
images/dry/cardboard186.jpg,dry recyclable household waste,dry
images/dry/plastic76.jpg,plastic bottle waste,dry
images/dry/metal123.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10535.jpg,paper or cardboard recyclable waste,dry
images/dry/metal137.jpg,metal or glass recyclable item,dry
images/dry/cardboard27 2.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard302 2.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10521.jpg,metal or glass recyclable item,dry
images/dry/R_10247.jpg,dry recyclable household waste,dry
images/dry/cardboard73.jpg,plastic bottle waste,dry
images/dry/plastic62.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard192.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard347 2.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard62 2.jpg,plastic bottle waste,dry
images/dry/R_10509.jpg,metal or glass recyclable item,dry
images/dry/R_10092.jpg,metal or glass recyclable item,dry
images/dry/cardboard347.jpg,dry recyclable household waste,dry
images/dry/R_10086.jpg,plastic bottle waste,dry
images/dry/cardboard353.jpg,plastic bottle waste,dry
images/dry/R_10938.jpg,plastic bottle waste,dry
images/dry/R_10910.jpg,dry recyclable household waste,dry
images/dry/glass167.jpg,dry recyclable household waste,dry
images/dry/glass173.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10904.jpg,paper or cardboard recyclable waste,dry
images/dry/plastic226.jpg,metal or glass recyclable item,dry
images/dry/R_10737.jpg,dry recyclable household waste,dry
images/dry/metal321.jpg,dry recyclable household waste,dry
images/dry/cardboard384.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10051.jpg,dry recyclable household waste,dry
images/dry/glass198.jpg,paper or cardboard recyclable waste,dry
images/dry/glass10.jpg,dry recyclable household waste,dry
images/dry/cardboard390.jpg,dry recyclable household waste,dry
images/dry/R_10045.jpg,plastic bottle waste,dry
images/dry/R_10723.jpg,metal or glass recyclable item,dry
images/dry/metal335.jpg,dry recyclable household waste,dry
images/dry/plastic232.jpg,paper or cardboard recyclable waste,dry
images/dry/glass38.jpg,plastic bottle waste,dry
images/dry/R_10079.jpg,plastic bottle waste,dry
images/dry/metal309.jpg,paper or cardboard recyclable waste,dry
images/dry/R_10078.jpg,metal or glass recyclable item,dry
images/dry/metal308.jpg,paper or cardboard recyclable waste,dry
images/dry/glass39.jpg,metal or glass recyclable item,dry
images/dry/R_10044.jpg,metal or glass recyclable item,dry
images/dry/cardboard391.jpg,plastic bottle waste,dry
images/dry/glass11.jpg,paper or cardboard recyclable waste,dry
images/dry/plastic233.jpg,dry recyclable household waste,dry
images/dry/metal334.jpg,plastic bottle waste,dry
images/dry/R_10722.jpg,plastic bottle waste,dry
images/dry/metal320.jpg,plastic bottle waste,dry
images/dry/R_10736.jpg,metal or glass recyclable item,dry
images/dry/plastic227.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard326 2.jpg,plastic bottle waste,dry
images/dry/glass199.jpg,dry recyclable household waste,dry
images/dry/R_10050.jpg,paper or cardboard recyclable waste,dry
images/dry/cardboard363 2.jpg,plastic bottle waste,dry
images/dry/cardboard46 2.jpg,plastic bottle waste,dry
images/dry/cardboard385.jpg,plastic bottle waste,dry
images/dry/glass172.jpg,plastic bottle waste,dry
images/dry/R_10905.jpg,plastic bottle waste,dry
images/dry/R_10911.jpg,metal or glass recyclable item,dry
images/dry/glass166.jpg,dry recyclable household waste,dry
images/dry/cardboard352.jpg,plastic bottle waste,dry
images/dry/R_10087.jpg,dry recyclable household waste,dry
images/dry/R_10939.jpg,metal or glass recyclable item,dry
images/dry/cardboard346.jpg,plastic bottle waste,dry
